Species,Common English Name,Common Hindi Name,States Found in
Acacia concinna,Soap pod,शिकाकाई Shikakai,"Assam,Andhra Pradesh,Arunachal Pradesh,Bihar,Delhi,Goa,Gujarat,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Pondicherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttar Pradesh,West Bengal"
Marsilea brachycarpa,Waterclover,,"Karnataka,Tamil Nadu"
Ceratopteris pteridoides,Floating antlerfern,,Assam
Curcuma longa,Common Turmeric,हल्दी Haldi,"Assam,Andhra Pradesh,Bihar,Chhatisgarh,Goa,Karnataka,Madhya Pradesh,Maharashtra,Meghalaya,Orissa,Sikkim,Tamil Nadu,Uttar Pradesh,West Bengal"
Justicia procumbens,"Water willow, Shrimp plant",करंबल Karambal (Marathi),"Andhra Pradesh,Goa,Gujarat,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Meghalaya,Nagaland,Rajasthan,Tamil Nadu,Uttar Pradesh,West Bengal"
Cedrus deodara,Deodar Cedar,देओदार,"Haryana,Himachal Pradesh,Jammu and Kashmir,Meghalaya,Tamil Nadu,Uttarakhand"
Marsilea brachypus,Waterclover,,"Punjab,Tamil Nadu"
Ensete superbum,"Rock banana, Wild plantain",जंगली केला jungli kela,"Goa,Karnataka,Kerala,Maharashtra,Tamil Nadu"
Glycyrrhiza glabra,"Cultivated Liquorice, Sweetwood",मुलेठी Mulethi,"Himachal Pradesh,Jammu and Kashmir,Punjab"
Acrostichum aureum,"Golden leatherfern, Mangrove fern",,"Assam,Andaman and Nicobar Islands,Goa,Kerala,Maharashtra,Orissa,Punjab"
Marsilea maheshwari,Waterclover,,Tamil Nadu
Mimusops elengi,"Spanish cherry, Bullet wood","बकुल Bakul, मौलसरी Maulsari","Andhra Pradesh,Andaman and Nicobar Islands,Bihar,Dadra and Nagar Haveli,Goa,Gujarat,Himachal Pradesh,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Rajasthan,Tamil Nadu,Uttar Pradesh,West Bengal"
Aconitum palmatum,,,"Jammu and Kashmir,Sikkim"
Nelumbo nucifera,"Water Lily, Lotus, Sacred Lotus, East Indian Lotus",कमल Kamal,"Assam,Andhra Pradesh,Bihar,Delhi,Goa,Jammu and Kashmir,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Rajasthan,Tamil Nadu,Tripura,Uttar Pradesh,West Bengal"
Crocus sativus,Saffron,केसर Kesar,Jammu and Kashmir
Alpinia abundiflora,,,Tamil Nadu
Azadirachta indica,Neem,नीम Neem,"Assam,Andhra Pradesh,Arunachal Pradesh,Bihar,Chandigarh,Chhatisgarh,Delhi,Goa,Gujarat,Jammu and Kashmir,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Orissa,Pondicherry,Punjab,Rajasthan,Tamil Nadu,Tripura,Uttarakhand,Uttar Pradesh,West Bengal"
Hiptage benghalensis,"Hiptage, Helicopter flower","माधवी लता Madhavi Lata, अतिमुक्त Atimukta","Assam,Andhra Pradesh,Andaman and Nicobar Islands,Arunachal Pradesh,Bihar,Delhi,Gujarat,Himachal Pradesh,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Rajasthan,Tamil Nadu,Tripura,Uttar Pradesh,West Bengal"
Achillea millefolium,"Common Yarrow, Gordaldo, Nosebleed plant, Old man's pepper, Devil's nettle, Sanguinary, Milfoil, Soldier's woundwort, Thousand-leaf, Thousand-seal.","Gandrain, Puthkanda, भूतकॆशी Bhut Kesi","Goa,Himachal Pradesh,Jammu and Kashmir,Tamil Nadu,Uttar Pradesh"
Mangifera indica,Mango,आम Am,"Assam,Andhra Pradesh,Arunachal Pradesh,Bihar,Chhatisgarh,Delhi,Goa,Gujarat,Himachal Pradesh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Orissa,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttarakhand,Uttar Pradesh,West Bengal"
Catharanthus roseus,"Tiny Periwinkle, Vinca",सदाबहार Sadabaha,"Assam,Andhra Pradesh,Bihar,Gujarat,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Meghalaya,Rajasthan,Tamil Nadu,Tripura,Uttarakhand,Uttar Pradesh"
Calotropis procera,"Rubber bush, apple of Sodom","Aak आक, Mudar मुदर","Assam,Andhra Pradesh,Arunachal Pradesh,Bihar,Delhi,Goa,Gujarat,Jammu and Kashmir,Karnataka,Madhya Pradesh,Maharashtra,Meghalaya,Punjab,Rajasthan,Tamil Nadu,Uttarakhand,Uttar Pradesh"
Artocarpus heterophyllus,Jackfruit,कटहल,"Karnataka,Kerala,Maharashtra"
Jasminum officinale,"Common Jasmine, Poet's Jasmine, Spanish Jasmine",चमेली Chameli,"Bihar,Delhi,Goa,Gujarat,Himachal Pradesh,Jammu and Kashmir,Madhya Pradesh,Maharashtra,Punjab,Rajasthan,Tamil Nadu,Uttarakhand,Uttar Pradesh,West Bengal"
Murraya exotica,"Chinese box, Orange Jasmine",Kamini कामिनी,"Assam,Andhra Pradesh,Andaman and Nicobar Islands,Arunachal Pradesh,Bihar,Delhi,Goa,Himachal Pradesh,Jammu and Kashmir,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttarakhand,Uttar Pradesh,West Bengal"
Marsilea minuta,"Dwarf waterclover, Small waterclover",चौपतिरा Chaupatira,"Assam,Andhra Pradesh,Andaman and Nicobar Islands,Bihar,Delhi,Gujarat,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Orissa,Punjab,Rajasthan,Tamil Nadu,Tripura,Uttar Pradesh,West Bengal"
Marsilea coromandelina,NA,NA,"Andhra Pradesh,Karnataka,Kerala,Maharashtra,Rajasthan,Tamil Nadu,Uttar Pradesh"
Andrographis paniculata,,,"Assam,Andhra Pradesh,Bihar,Delhi,Goa,Gujarat,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Orissa,Rajasthan,Tamil Nadu,Uttar Pradesh,West Bengal"
Microsorum pteropus,Java fern,,"Assam,Kerala,Sikkim"
Isoetes coromandelina,"Club Moss, Quillwort",,"Andhra Pradesh,Bihar,Gujarat,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Orissa,Rajasthan,Tamil Nadu,Uttar Pradesh,West Bengal"
Marsilea gracilenta,Waterclover,,Maharashtra
Alpinia allughas,Tara,Tara (Bengali),"Assam,Manipur,Nagaland,Tripura"
Adansonia digitata,Baobab,Gorakh imli गोरख इमली,"Andhra Pradesh,Bihar,Goa,Gujarat,Karnataka,Maharashtra,Rajasthan,Tamil Nadu,Uttar Pradesh,West Bengal"
Madhuca longifolia,Mahua,महुआ Mahua,"Andhra Pradesh,Bihar,Chhatisgarh,Gujarat,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Orissa,Rajasthan,Tamil Nadu,West Bengal"
Alpinia calcarata,"Snap Ginger, Cardamom ginger, Indian ginger",कुलंजन Kulanjan,"Madhya Pradesh,Maharashtra,Tamil Nadu,Tripura"
Cocos nucifera,Coconut,नारियल Naariyal,"Andhra Pradesh,Andaman and Nicobar Islands,Goa,Karnataka,Kerala,Lakshadweep,Maharashtra,Orissa,Pondicherry,Tamil Nadu,West Bengal"
Mesua ferrea,"Cobra saffron, Ceylon ironwood, Indian rose chestnut","नाग चम्पा Nag champa, नागकेसर Nagkesar","Assam,Andaman and Nicobar Islands,Bihar,Karnataka,Kerala,Maharashtra,Orissa,Pondicherry,Sikkim,Tamil Nadu,Uttar Pradesh,West Bengal"
Ceratopteris thalictroides,"Water sprite, Indian fern, Water fern, Oriental waterfern, Water hornfern",,"Assam,Andhra Pradesh,Andaman and Nicobar Islands,Arunachal Pradesh,Bihar,Goa,Gujarat,Karnataka,Kerala,Maharashtra,Manipur,Meghalaya,Orissa,Rajasthan,Tamil Nadu,Tripura,Uttar Pradesh"
Azolla pinnata,"Mosquito fern, Duckweed fern, Fairy moss, Water fern",,"Assam,Andhra Pradesh,Bihar,Karnataka,Kerala,Maharashtra,Manipur,Orissa,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttar Pradesh,West Bengal"
Ipomoea digitata,Giant potato,Bilaikand,"Andhra Pradesh,Goa,Karnataka"
Elettaria cardamomum,"Cardamom, Green cardamom",इलाएची Elaichi,"Karnataka,Kerala,Pondicherry,Tamil Nadu"
Garcinia cambogia,Gamboge tree,,"Goa,Karnataka,Kerala,Maharashtra,Tamil Nadu"
