State/UT,Geographical Area,2001,2003,2005,2007,2009,2011,2013,2015,2017,2019
Andhra Pradesh,160204,53648,56539,52012,52442,52093,51571,51559,28389,31900,33051
Arunachal Pradesh,83743,68523,68382,68223,67869,68445,68568,68437,68009,67771,67536
Assam,78438,29656,28761,29129,29246,29382,29390,29227,29236,29601,29735
Bihar,94163,9413,7178,8101,9316,8499,7927,7743,9470,9562,9309
Chhattisgarh,135191,59983,62721,60355,60162,59930,59864,59326,59215,59380,59859
Delhi,1483,151,268,283,293,296,290,294,300,305,324
Goa,3702,2157,2292,2432,2428,2440,2442,2498,2549,2552,2509
Gujarat,196022,19188,25532,22336,22541,23194,22783,23073,22574,22781,21769
Haryana,44212,3280,2932,3152,3079,2963,2912,2869,2939,3003,3166
Himachal Pradesh,55673,14757,14844,15078,15347,15096,14976,15066,15453,15922,16263
Jammu & Kashmir,222236,23454,25093,26906,28819,28750,27817,28937,31342,31056,31556
Jharkhand,79714,25331,27728,25671,25948,25826,25630,25220,26261,26475,26268
Karnataka,191791,44437,41820,40718,41757,42013,42182,41171,41973,43263,44832
Kerala,38863,16706,17480,18227,20056,19125,18332,18741,22190,23280,24080
Madhya Pradesh,308245,83016,83679,82280,84367,83771,83519,83100,85235,85487,85821
Maharashtra,307713,55751,56185,56454,59828,58116,55944,56618,60186,60513,61584
Manipur,22327,17021,17355,17228,17449,17453,17412,17310,17237,17566,17020
Meghalaya,22429,15724,17191,17393,17796,17563,17417,17656,17927,17803,17829
Mizoram,21081,17589,18560,18806,19392,19112,18620,18907,19283,18653,18447
Nagaland,16579,13415,13826,13957,13732,13864,13931,14091,13347,12868,12848
Orissa,155707,53202,54747,52972,53373,52990,52667,52387,54340,55338,56267
Punjab,50362,4066,3188,3381,3387,3313,3279,3057,3315,3459,3441
Rajasthan,342239,21653,24464,24229,24412,24210,24098,23710,24440,24838,24742
Sikkim,7096,3207,3284,3289,3380,3317,3287,3293,3392,3379,3378
Tamil Nadu,130058,27536,27634,28665,28559,27806,27361,27910,30850,30952,31194
Telangana,114865,0,0,0,0,0,0,0,24140,23088,23096
Tripura,10486,7133,8209,8289,8230,8254,8277,8368,8044,7941,7957
Uttar Pradesh,240928,21291,21833,22330,22144,21622,21500,21022,21505,22121,22148
Uttarakhand,53483,24386,25036,25100,25156,25145,25107,25145,24992,25062,25144
West Bengal,88752,13957,14074,14682,15363,15152,14678,14557,18916,18983,18908
A & N Islands,8249,7013,6997,6682,6710,6766,7003,6670,6788,6777,6784
Chandigarh,114,11,23,24,27,27,25,25,31,32,47
Dadra & Nagar Haveli,491,246,260,249,239,245,254,250,234,237,235
Daman & Diu,112,10,14,17,15,16,17,17,30,30,25
Lakshadweep,32,27,25,29,30,28,28,30,31,29,28
Puducherry,480,71,75,84,81,76,71,71,82,81,75
