State/UT,Geographical Area,Very dense forest-2015,Mod. dense forest-2015,Open forest-2015,Total-2015,Very dense forest-2017,Mod. dense forest-2017,Open forest-2017,Total-2017,Very dense forest-2019,Mod. dense forest-2019,Open forest-2019,Total-2019
Andhra Pradesh,"1,60,204",375,"13,093","10,956","24,424","1,957","14,051","12,139","28,147","1,994","13,938","13,205","29,137"
Arunachal Pradesh,"83,743","20,804","31,301","15,143","67,248","20,721","30,955","15,288","66,964","21,095","30,557","15,036","66,688"
Assam,"78,438","1,441","11,268","14,914","27,623","2,797","10,192","15,116","28,105","2,795","10,279","15,253","28,327"
Bihar,"94,163",248,"3,376","3,664","7,288",332,"3,260","3,707","7,299",333,"3,280","3,693","7,306"
Chhattisgarh,"1,35,191","4,152","34,846","16,588","55,586","7,064","32,215","16,268","55,547","7,068","32,198","16,345","55,611"
Delhi,"1,483",6.94,57.15,124.68,188.77,6.72,56.24,129.45,192.41,6.72,56.42,132.30,195.44
Goa,"3,702",542,580,"1,102","2,224",5,576,"1,115","2,229",538,576,"1,123","2,237"
Gujarat,"1,96,022",376,"5,220","9,064","14,660",378,"5,200","9,179","14,757",378,"5,092","9,387","14,857"
Haryana,"44,212",27,452,"1,105","1,584",28,452,"1,108","1,588",28,451,"1,123","1,602"
Himachal Pradesh,"55,673","3,224","6,381","5,091","14,696","3,110","6,705","5,285","15,100","3,113","7,126","5,195","15,434"
Jammu & Kashmir*,"2,22,236","4,061","8,815","10,112","22,988","4,075","8,579","10,587","23,241","4,281","8,612","10,719","23,612"
Jharkhand,"79,714","2,588","9,663","11,227","23,478","2,598","9,686","11,269","23,553","2,603","9,687","11,321","23,611"
Karnataka,"1,91,791","1,781","20,063","14,577","36,421","4,502","20,444","12,604","37,550","4,501","21,048","13,026","38,575"
Kerala,"38,863","1,523","9,301","8,415","19,239","1,663","9,407","9,251","20,321","1,935","9,508","9,701","21,144"
Madhya Pradesh,"3,08,245","6,629","34,902","35,931","77,462","6,563","34,571","36,280","77,414","6,676","34,341","36,465","77,482"
Maharashtra,"3,07,713","8,712","20,747","21,169","50,628","8,736","20,652","21,294","50,682","8,721","20,572","21,485","50,778"
Manipur,"22,327",727,"5,925","10,342","16,994",908,"6,510","9,928","17,346",905,"6,386","9,556","16,847"
Meghalaya,"22,429",449,"9,584","7,184","17,217",453,"9,386","7,307","17,146",489,"9,267","7,363","17,119"
Mizoram,"21,081",138,"5,858","12,752","18,748",131,"5,861","12,194","18,186",157,"5,801","12,048","18,006"
Nagaland,"16,579","1,296","4,695","6,975","12,966","1,279","4,587","6,623","12,489","1,273","4,534","6,679","12,486"
Odisha,"1,55,707","7,023","21,470","21,861","50,354","6,967","21,370","23,008","51,345","6,970","21,552","23,097","51,619"
Punjab,"50,362",0,735,"1,036","1,771",8,806,"1,023","1,837",8,801,"1,040","1,849"
Rajasthan,"3,42,239",76,"4,426","11,669","16,171",78,"4,340","12,154","16,572",78,"4,342","12,210","16,630"
Sikkim,"7,096",500,"2,160",697,"3,357","1,081","1,575",688,"3,344","1,102","1,552",688,"3,342"
Tamil Nadu,"1,30,058","2,993","10,469","12,883","26,345","3,672","10,979","11,630","26,281","3,605","11,030","11,729","26,364"
Telangana,"1,14,865",513,"12,712","8,366","21,591","1,596","8,738","10,085","20,419","1,608","8,787","10,187","20,582"
Tripura,"10,486",113,"4,609","3,089","7,811",656,"5,246","1,824","7,726",654,"5,236","1,836","7,726"
Uttar Pradesh,"2,40,928","2,195","4,060","8,206","14,461","2,617","4,069","7,993","14,679","2,617","4,080","8,109","14,806"
Uttarakhand,"53,483","4,754","13,602","5,884","24,240","4,969","12,884","6,442","24,295","5,047","12,805","6,451","24,303"
West Bengal,"88,752","2,948","4,172","9,708","16,828","2,994","4,147","9,706","16,847","3,019","4,160","9,723","16,902"
A & N Islands,"8,249","5,686",685,380,"6,751","5,678",684,380,"6,742","5,678",684,381,"6,743"
Chandigarh,114,1.36,14.09,6.58,22.03,1.36,13.82,6.38,21.56,1.36,14.24,6.43,22.03
Dadra & Nagar Haveli,491,0,80,126,206,0,80,127,207,0,80,127,207
Daman & Diu,112,1.4,5.82,12.39,19.61,1.40,5.82,13.27,20.49,1.40,5.69,13.40,20.49
Lakshadweep,32,0,17.22,9.84,27.06,0,17.04,10.06,27.10,0,16.09,11.01,27.10
Puducherry,480,0,29.68,25.7,55.38,0,17.60,36.07,53.67,0,17.66,34.75,52.41
Grand Total ,"32,87,263","85,904","3,15,374","3,00,395","7,01,673","98,158","3,08,318","3,01,797","7,08,273","99,278","3,08,472","3,04,499","7,12,249"
